Holiday,Date,Japan,China,Northeast Asia,Southeast Asia,Americas,Europe,Oceania,Middle East,Others,Total
10,31,533145,306714,175793,382164,212157,126121,130973,2473,19981,1889521
8,28,504811,286653,166785,319909,158753,108525,108018,2181,16487,1672122
10,31,510166,259045,117745,268872,167405,113995,88175,1734,13115,1540252
8,30,370899,149151,54578,142778,137782,94824,74530,650,9831,1035023
11,31,333036,89291,48551,146849,167822,107387,76301,2779,11661,983677
10,30,354448,137815,89004,208497,221708,136709,76535,3681,13061,1241458
9,31,479191,248729,157411,313037,251676,175402,105933,3225,15656,1750260
11,31,600727,355718,198400,345439,292448,185120,110914,2722,18757,2110245
11,30,497877,306863,141560,271329,207223,161407,83287,2847,17023,1689416
9,31,518257,332403,166615,335087,203722,156844,96317,3837,17347,1830429
10,30,492330,316864,171051,392356,191481,124684,110067,3606,14649,1817088
9,31,473493,292653,180661,408291,221818,109872,119484,5898,15452,1827622
13,31,484780,317936,210708,431926,234538,126416,138507,4483,16808,1966102
9,29,503761,308130,167670,335232,191173,122520,126614,4794,13919,1773813
9,31,502530,288033,152619,292817,203974,128361,94731,5631,14934,1683630
9,30,438828,339442,174326,327946,211778,135504,91735,4531,12923,1737013
12,31,472143,323923,172104,364366,244075,158531,91699,4670,12446,1843957
8,30,490131,342712,202830,346320,271379,164673,88423,4063,12502,1923033
9,31,557835,437230,226043,381612,288678,198409,109912,4698,12038,2216455
9,31,617580,500366,234616,433397,303323,194403,113394,4377,13292,2414748
11,30,538784,378749,172437,325016,230476,173494,86643,3999,11297,1920895
10,31,585203,419474,204444,372781,236332,167716,90892,4085,13163,2094090
8,30,561397,369365,207491,440703,196360,123557,103410,3295,15244,2020822
8,31,526260,335004,209329,465303,227345,122487,119691,3606,17483,2026508
10,31,556965,444650,234224,366564,235546,146511,140655,5020,17724,2147859
11,28,540023,390047,250558,354490,196574,127512,116655,4147,14764,1994770
9,31,590743,382265,193943,358297,225380,134068,93386,3509,13908,1995499
10,30,486548,448620,205044,376593,225282,156516,87720,3490,11709,2001522
10,31,455379,453956,212276,377747,259369,173276,84359,13386,11519,2041267
9,30,478772,463986,225363,408152,284279,185843,83032,16774,12300,2158501
10,31,525985,502617,264043,450528,302186,206232,94683,18336,13907,2378517
9,31,581609,566293,273034,483642,307209,207545,96998,17142,17377,2550849
9,30,513724,435622,190783,350255,231894,181415,76585,15327,14852,2010457
11,31,547335,489652,219683,420157,229641,184793,89406,15880,26823,2223370
8,30,511714,401496,201718,434542,199216,134034,98717,14455,16351,2012243
9,31,508955,357283,223919,488774,223092,132906,110827,13647,16418,2075821
10,31,491343,428984,249043,531719,233311,149866,125625,15949,22405,2248245
8,28,497658,440842,256742,500895,187381,139030,106392,17480,19354,2165774
9,31,537833,400565,199555,458675,216387,148844,88601,16222,16512,2083194
10,30,471492,454319,211042,442551,235275,173734,93838,16506,13661,2112418
9,31,502239,477010,209666,429031,265088,194770,93861,18706,13407,2203778
9,30,503209,471412,223019,420439,282640,195783,91625,17136,13604,2218867
11,31,528370,547978,259832,481565,294459,219644,109586,19782,16717,2477933
9,31,616243,623619,286014,506934,320039,219555,115330,20265,17388,2725387
9,30,526761,545190,206916,394672,256098,211242,88924,19137,15472,2264412
12,31,552675,589500,252550,448917,257119,191755,98096,18665,16834,2426111
8,30,523966,522934,232482,522017,226644,157281,112384,21290,20681,2339679
11,31,514401,483493,247314,569255,252440,152102,134838,20256,21701,2395800
9,31,542969,593154,256502,603081,254647,174785,142918,21951,27018,2617025
9,28,532195,586306,254726,510000,212673,149937,117011,20176,21257,2404281
10,31,543712,604399,224221,539144,254563,172851,106178,21428,20447,2486943
9,30,487446,612065,218229,478717,249947,188175,104219,20254,18326,2377378
9,31,505328,658379,222487,483066,279098,204510,96718,20860,17298,2487744
10,30,496561,641271,232326,465481,291681,215535,104710,20799,16742,2485106
10,31,541152,722407,278590,523230,316235,239730,128908,22972,18531,2791755
9,31,624874,780880,292104,545568,329264,240429,135381,21812,19341,2989653
13,30,546604,641884,219522,434510,268834,220184,103993,23613,15387,2474531
9,31,590117,680589,229990,473146,265418,218290,108365,23661,18903,2608479
8,30,550286,601863,227195,545355,229929,178473,118676,22607,22039,2496423
11,31,521189,547671,252407,616934,249714,174262,129754,20378,21598,2533907
9,31,546792,673082,269179,640910,267286,194207,139102,24838,27138,2782534
11,29,559416,611600,273242,592811,232594,173379,129757,24174,24115,2621088
10,31,540414,555486,233133,548766,262896,182656,103766,22486,20200,2469803
8,30,494383,569877,221741,521083,251105,201068,100068,23988,18190,2401503
11,31,528793,587770,251746,506952,284692,221851,105764,25680,17449,2530697
10,30,512519,505851,258091,489485,301583,239648,107492,25357,14253,2454279
8,31,533081,543959,287496,509367,318672,269656,127146,28134,19883,2637394
11,31,591636,548424,296515,555399,344313,271402,132412,27751,19657,2787509
9,30,497892,475501,207696,367009,259163,223932,94745,21849,14925,2162712
9,31,558479,534520,234553,465691,255397,218879,107175,29883,19328,2423905
10,30,483185,422103,199666,436920,232299,173402,106560,26999,19671,2100805
9,31,508637,372665,232938,473844,265602,170955,125741,22451,18318,2191151
12,31,513893,484825,264949,516682,288853,174651,131582,22103,19334,2416872
8,28,549674,464622,237226,479946,225569,154758,115593,20736,17072,2265196
9,31,592846,423304,209000,444041,253616,159339,96496,25149,15079,2218870
