Holiday,Japan,China,Northeast Asia,Southeast Asia,Americas,Europe,Oceania,Middle East,Others,Total
2,114598,155914,92300,251002,89373,49811,66771,15866,6781,842416
2,123692,172244,97158,259477,84897,51909,64976,17175,7039,878567
2,127368,184306,98657,243551,80305,51371,66508,19049,7134,878249
4,119560,168408,103121,222495,68794,49434,56508,16399,6491,811210
2,119780,187118,108680,232478,70538,49325,57427,16391,6560,848297
2,134346,178057,97228,244501,74112,48543,62076,17338,6549,862750
2,143347,186835,100968,252483,74074,50083,63779,18388,6946,896903
2,139374,184370,97493,230754,73060,47906,64969,17512,6826,862264
2,119864,164129,86110,192937,70978,38211,58030,16302,6259,752820
2,123309,163324,85065,190453,68480,38279,58072,15265,5945,748192
2,136343,173513,86102,194483,71706,36418,63197,15667,5884,783313
2,142399,183083,91129,190313,73833,35967,67503,17141,6185,807553
2,118180,182908,89167,184080,74812,36752,69871,15590,5355,776715
2,106049,194163,94751,191857,74382,37698,72687,16056,5747,793390
2,110959,207333,105111,197222,72588,37888,68812,15274,5603,820790
2,110435,222216,105469,192053,77565,38120,71994,16331,5879,840062
2,108110,209936,102292,204246,81687,40305,75314,17115,5096,844101
4,115114,188768,96690,191251,79759,38099,71721,16811,4957,803170
2,100519,195111,89092,165436,86731,32551,74997,16995,5305,766737
2,101384,197444,94336,160442,81039,32807,75809,16665,5197,765123
2,99366,202200,96911,163396,85052,36050,77793,16949,5412,783129
4,109016,192257,101833,176012,86719,39640,80168,15724,4705,806074
2,109434,199435,102122,172055,90344,39339,81798,16567,5475,816569
2,110747,210858,107277,172813,91000,38506,83349,16911,5222,836683
2,114189,224262,111544,181364,94681,40483,87304,17711,5424,876962
2,109924,225583,108902,174011,90687,39558,88234,16851,5588,859338
2,110961,228254,106626,174800,94312,41979,85923,14483,5300,862638
2,122811,240921,106551,191729,95629,41685,88032,15291,5856,908505
2,127017,253022,112175,217615,93558,40557,88379,15832,6455,954610
2,141001,260373,117502,235996,95191,43381,93074,15405,6406,1008329
2,140697,269590,119309,242832,99167,43992,93373,16809,7025,1032794
3,144411,272601,118557,230340,99366,44749,93096,16039,6676,1025835
2,142223,269041,115575,227270,99522,43500,90881,15286,5907,1009205
2,135386,256268,116779,201684,98206,39936,89199,15874,5822,959154
2,116012,219105,100907,182220,88096,35549,80559,15101,4568,842117
5,118566,201917,96667,182435,78512,39144,77522,13374,4136,812273
2,125836,240567,95784,180788,85634,39882,89212,18832,5227,881762
2,126925,251365,99522,185151,84476,41974,89593,19329,4964,903299
3,123361,242651,104588,198368,85336,43805,89547,19066,5191,911913
3,122860,228368,104210,206138,83062,44663,86722,18386,5738,900147
2,121538,231354,104572,207946,84016,39385,87322,18282,5869,900284
2,126677,234566,107280,209284,78993,38202,81928,18128,4771,899829
2,120837,218518,110020,207224,77384,39698,72044,16917,5347,867989
2,115229,217063,107445,199346,74453,41110,69134,15266,5283,844329
2,118659,212156,106347,205104,73165,42115,66387,15601,5277,844811
2,122083,204309,100294,216637,75301,42501,61023,14193,5497,841838
2,116826,196992,97979,222506,68154,44266,57547,14413,5407,824090
2,116056,179493,93588,219636,71998,46601,53737,14516,5488,801113
2,119364,180656,95131,226721,77860,49249,55947,13225,5465,823618
2,128326,197032,106185,250710,92471,56818,67918,15359,5827,920646
3,132686,203146,115671,262990,87717,56548,67308,15412,5489,946967
3,140504,199106,119378,278442,83521,54404,66341,14624,5132,961452
2,132010,184272,105425,276287,94260,55301,76178,15796,5930,945459
2,138915,196075,108402,282221,88190,56738,74350,16679,6104,967674
2,147531,207676,112675,287570,77939,57672,73567,17264,6311,988205
2,148652,220561,115741,274018,74888,55470,71183,17194,5799,983506
2,141031,232288,120175,262041,73401,52022,67677,15556,6010,970201
2,147501,246063,120583,260120,81201,53494,70411,15353,5853,1000579
5,157842,231503,130578,280303,75069,56300,64262,15081,5774,1016712
2,157766,268552,131468,262965,80792,55217,71135,16603,5905,1050403
2,143215,221689,104169,225081,81779,45257,64627,15854,4608,906279
2,144074,207892,100897,222861,77203,42693,65005,15452,5440,881517
2,149729,216628,105487,229833,78842,43126,70613,15530,5177,914965
2,155705,227180,110840,225541,84448,44864,77274,15759,5064,946675
2,142559,240037,113467,215554,84776,44802,72207,15698,5351,934451
2,139029,241339,117615,225498,78749,43397,71074,16394,4966,938061
2,137687,255233,113402,228541,83545,44618,81167,17977,4513,966683
2,141458,275911,111593,216832,86552,44734,85227,17250,4716,984273
2,132928,276157,116915,229557,90809,45984,87581,18860,4711,1003502
3,129446,242543,106957,213439,87775,44222,83239,17734,4827,930182
2,131445,248418,102827,198492,96529,40576,84225,18619,4969,926100
2,136845,262338,117725,205578,93063,42715,88257,19675,4667,970863
3,132359,249455,115386,198383,92611,43196,87920,17751,4487,941548
2,116824,220054,94195,194141,94684,41896,88364,18185,4125,872468
2,108277,171661,63675,182922,93934,41308,87356,15229,3717,768079
2,103728,144695,49678,175676,91909,41520,91232,15545,4031,718014
2,102243,140273,53481,184080,91614,43770,93138,15056,3990,727645
2,101539,139593,54786,186430,93167,43892,96724,16793,4158,737082
2,101867,141650,56288,181635,94932,42758,92702,15682,4151,731665
2,117395,158488,60200,203706,100124,45642,97654,16480,4448,804137
2,126392,168451,65146,225493,99891,45454,102024,16457,4333,853641
2,147626,196014,77591,256253,103084,47977,109444,18628,4825,961442
2,160700,214827,83861,271961,106880,47671,106288,18742,5732,1016662
3,154470,220885,89471,253453,106637,45137,103480,19445,5336,998314
2,159216,228658,90777,248512,102800,47147,101247,18762,4789,1001908
2,157266,240064,95772,222407,100069,45397,100034,18032,5479,984520
2,137617,226206,95846,203415,89638,45097,93796,17503,4449,913567
2,136489,222429,97479,201693,82030,47111,92843,16602,4651,901327
2,142229,223084,98361,194618,86162,45278,94656,18187,4575,907150
2,129349,239915,101985,193560,90450,43831,93152,15767,4113,912122
4,147041,227542,99420,212238,87623,49248,91654,16275,4883,935924
3,153750,245510,102763,219741,92771,50640,99044,18575,5232,988026
2,153127,251774,108436,222627,90692,47869,98946,19495,5394,998360
2,157155,252911,110122,226238,86605,45125,90294,18144,4881,991475
2,153751,239787,112550,233809,82555,47106,80860,16647,5726,972791
2,146897,226005,111748,224616,80981,48055,80099,16113,5413,939927
2,149731,223166,112436,234180,78635,50190,72738,15747,4758,941581
2,150665,227335,111163,250729,81130,52567,70331,15534,5300,964754
2,151603,214564,108872,260464,71702,53241,61575,14865,5570,942456
2,142114,193691,106071,257651,77796,53850,57089,13212,5473,906947
2,143624,188787,101750,271072,81155,56679,57260,12517,5366,918210
2,162744,209412,115691,290013,94126,60279,69882,14545,5936,1022628
3,169151,221923,121254,290629,92448,61775,69084,14557,5801,1046622
3,172844,220950,124240,307231,89779,60428,65514,12410,4932,1058328
2,169960,212494,113675,309462,98599,62375,77362,15339,5336,1064602
2,180536,225769,118881,319961,95034,63825,75337,15659,5907,1100909
2,187241,247727,124354,327134,84983,64326,76141,18394,6283,1136583
2,183844,258811,128239,308781,83835,61890,74149,17837,6331,1123717
2,172064,256415,126172,292462,86629,58677,77160,18390,6428,1094397
5,181102,228970,137574,307522,76457,61536,65771,16012,5955,1080899
2,200009,261231,121506,311633,87555,61175,77955,18727,5644,1145435
2,206090,258959,125078,308319,83076,60526,74237,18377,5365,1140027
3,175960,231655,112551,265468,80217,50391,66261,16894,5341,1004738
2,172837,211838,103590,243333,75539,44780,63689,15157,4775,935538
2,175793,223580,105220,247106,83196,47134,69760,15901,4848,972538
2,179195,238385,119176,244436,85293,48427,72941,16362,4908,1009123
2,178041,260374,125853,236518,84196,45967,76210,16934,4978,1029071
2,173042,246516,121427,249881,83703,47400,78552,18357,5203,1024081
3,168938,263349,123823,259408,81322,48165,80840,18867,5183,1049895
2,142162,280888,116933,247739,83823,47138,83448,18823,4895,1025849
2,133961,292384,118704,240924,91026,47403,87834,18837,5192,1036265
4,135446,256715,120649,242149,88024,48962,82197,19160,4622,997924
2,130780,264268,114278,228062,95341,46303,86278,19238,4630,989178
2,132173,275062,117634,218224,95668,44701,86328,18295,4759,992844
2,132443,272798,119417,218932,93511,46199,93135,19796,5143,1001374
2,133425,266855,121841,232413,97781,48568,98433,20532,4837,1024685
3,145358,276386,126380,233640,98339,49507,97994,17404,4407,1049415
2,146872,280977,129487,230268,103176,51505,98433,18755,4545,1064018
2,161027,288740,135062,242361,106848,51934,103083,19880,4724,1113659
2,167785,298799,138929,254835,107435,53117,107900,20368,5409,1154577
2,162306,289909,128018,246719,106225,52534,106023,18532,5846,1116112
2,175497,298145,127934,253642,106186,53418,105207,18941,5656,1144626
2,181206,306206,134295,269062,106152,52117,108719,20087,6004,1183848
2,200711,316121,141222,289253,106173,53957,111964,21656,6239,1247296
2,208899,319289,141771,298203,110709,56527,109246,19979,6495,1271118
2,203809,313637,137598,285640,108722,55833,109037,20409,6317,1241002
3,218060,314001,142006,282606,109831,54225,107350,19783,5470,1253332
2,209615,311024,142336,269571,108218,52263,104979,19605,5708,1223319
2,189670,272658,122365,246602,98986,51108,99460,18515,5532,1104896
2,188331,251216,115398,243252,95046,51792,100234,18876,5311,1069456
5,188011,246285,138634,253345,87276,53881,90625,17200,4526,1079783
2,181037,274555,124312,243072,99692,50837,103714,19990,5092,1102301
2,195710,291587,123244,246105,96748,53394,104206,20017,5684,1136695
3,189333,262641,127560,245929,93948,55950,99688,19539,6078,1100666
2,192003,256344,125878,243087,93796,54213,96855,19446,5680,1087302
2,200014,272362,129650,260003,91439,53446,94208,18284,6676,1126082
2,195842,262272,136162,267747,87688,53194,88385,18531,6322,1116143
2,184116,230575,130364,260816,84818,55769,80291,17219,6708,1050676
2,188954,235775,131040,265864,84561,58136,77693,18973,7282,1068278
2,194158,232898,134548,276904,88143,61417,75970,18206,7628,1089872
2,198250,231426,128884,289685,78323,61600,70630,16622,7705,1083125
2,180511,213832,128435,294775,84675,61311,69805,16914,8770,1059028
2,178425,203198,124393,298611,82154,61807,67979,15238,8190,1039995
2,198017,218008,137800,316720,95499,68752,74394,16507,8602,1134299
2,199398,238762,148079,323183,99855,69623,81549,17143,8601,1186193
2,214850,235550,150701,321814,95314,69617,71918,15223,7877,1182864
2,210604,228644,134950,324801,103353,70627,80179,17768,8533,1179459
2,215764,254955,146422,355428,103585,72938,84414,18846,9128,1261480
2,233052,267783,148918,356980,99080,73766,86153,19802,9515,1295049
3,225052,251147,149610,339882,89994,70968,83214,19534,9302,1238703
3,226353,246039,156423,342726,84966,70328,78632,18887,9048,1233402
2,231380,253649,139900,351589,90007,66944,85385,19596,9457,1247907
2,244762,263813,148869,366292,88725,70509,87167,20894,10092,1301123
2,251094,276291,153226,360883,86190,72237,86818,20105,9904,1316748
3,229300,252004,140475,328480,85891,65155,83334,18312,9261,1212212
2,216807,219051,129349,302444,79938,56932,77898,18494,9232,1110145
2,221947,190717,123193,298721,80230,54855,82193,20831,8345,1081032
2,224312,163441,126010,300079,84749,54794,88721,19413,8196,1069715
2,219934,163613,128494,289184,90962,53345,97100,19414,7510,1069556
2,217262,153079,133611,299488,88997,55394,98715,19050,7336,1072932
2,211685,157805,145997,308194,83164,56758,94261,17584,7424,1082872
2,210912,160963,145420,305161,88316,58427,95637,19245,7513,1091594
2,210176,185013,139423,309633,97208,59380,106206,19920,8371,1135330
4,240004,175388,156123,305196,97544,59496,101033,20495,7110,1162389
3,198254,168599,118103,279651,102159,53463,101502,18479,7563,1047773
2,192716,165681,119025,270682,103001,48916,102500,19027,6966,1028514
2,199176,171835,127914,269226,98098,52091,103442,18418,7134,1047334
2,200601,165896,130155,274086,102988,56249,107725,17510,7251,1062461
3,208155,172800,130232,287663,105868,57860,107955,16980,7677,1095190
2,208613,175000,127332,283090,115871,56351,112854,17446,7835,1104392
2,217006,189440,132811,292772,113443,56983,116338,18277,8531,1145601
2,230227,198055,142000,306792,116964,57590,122232,19538,8750,1202148
2,211981,188486,130087,285331,119363,58570,123856,19220,8814,1145708
2,225477,189500,128668,293265,119885,60419,121434,18523,8302,1165473
2,227640,194334,127641,304607,117674,58543,119421,18563,7854,1176277
2,247467,204149,136344,329710,114958,60283,124231,20431,8202,1245775
2,257847,216611,152411,353980,120937,64313,123707,21209,9118,1320133
2,250525,217686,143895,339665,121189,63883,123470,21274,8634,1290221
3,262936,224150,146782,341219,121314,63091,124155,19703,7631,1310981
2,255474,234478,143000,322230,120040,59983,120831,19374,7733,1283143
2,238032,212066,131174,299450,106823,58041,117279,18754,7556,1189175
2,230545,195562,120139,304414,96336,58852,115450,17676,7558,1146532
2,232510,196476,120575,299609,94564,61265,119804,20110,8073,1152986
2,229323,203280,122898,294535,100880,61159,119360,20298,8288,1160021
2,223076,236537,127583,293608,108453,59197,120230,19767,8384,1196835
7,244303,242442,172647,334146,100926,70111,112219,19044,7181,1303019
3,212213,217401,132724,283883,102401,58042,112926,18872,7698,1146160
2,226940,196394,127453,283893,104124,50851,110653,19080,7386,1126774
2,230252,192669,137288,306724,95425,54663,103489,18368,8470,1147348
2,232096,189905,140641,325065,91831,60987,94623,17346,9899,1162393
2,240008,191055,145699,335009,92709,63056,93517,17083,9879,1188015
2,247197,191920,145848,344864,94684,66151,91787,16990,10116,1209557
2,247285,191927,138050,357663,83779,68520,81861,14953,9900,1193938
2,241178,191881,134051,365066,90563,70941,79195,14245,10760,1197880
2,228503,183955,128762,360360,82635,73063,75189,14047,10246,1156760
2,245179,196864,138782,376335,94370,75583,82571,14995,10251,1234930
2,246974,208074,147475,366551,104493,74855,92475,15049,9900,1265846
3,267206,219783,158326,392123,102483,79016,87597,14134,8524,1329192
3,256434,197580,137901,381129,104727,73924,89358,14854,9066,1264973
2,256987,204717,144837,406290,103999,74058,92027,16268,10238,1309421
2,281114,214147,152070,438449,99602,78297,93461,18345,10913,1386398
2,287387,215516,154774,432637,90991,77302,94359,19784,10953,1383703
2,280365,222099,150089,408875,93881,74928,94229,18111,10122,1352699
2,270897,228498,139705,394831,99571,71572,93646,19079,9991,1327790
4,275236,211979,143840,389342,94598,72536,90411,17078,8641,1303661
2,293488,242392,159301,423193,97846,77462,99766,19287,10590,1423325
3,287579,245372,143005,415394,102263,74021,101487,18976,10582,1398679
2,268088,225395,129567,387429,92990,58138,88607,16200,10594,1277008
2,272050,216766,124580,373199,92601,55257,90875,17549,9779,1252656
2,281539,209563,131031,369787,97396,55483,97449,18179,9337,1269764
2,258187,213032,135683,347185,102466,54435,101285,17059,7633,1236965
2,249147,210242,147146,353726,99745,53721,98042,18018,7784,1237571
2,249381,220885,143922,367337,97466,55805,102028,18391,7873,1263088
2,255181,227602,139137,364806,98211,56491,109520,18575,7728,1277251
2,253947,245568,137103,354765,100671,57290,113860,20275,8027,1291506
2,233041,222040,133290,331868,104739,54279,110197,19283,6861,1215598
3,238185,228140,127325,316662,105165,51851,110278,19050,6959,1203615
2,246278,230382,134079,322667,109441,53367,118578,19080,7383,1241255
3,248570,230836,142114,324031,103178,53893,117385,17058,6704,1243769
2,245087,219514,129398,311251,109313,53388,121360,17526,6853,1213690
3,256420,218908,135285,330920,110177,56531,122531,16979,7653,1255404
3,254606,228205,135125,341098,114656,58124,125504,17442,7344,1282104
2,245345,239066,140344,337617,115884,57229,128963,18597,7887,1290932
2,246090,249423,147940,352242,116824,59235,134499,20849,8526,1335628
2,228735,233424,135874,331126,117378,56232,132322,20465,8576,1264132
2,243245,232827,129898,330153,117359,57700,131486,19916,8975,1271559
2,243701,238517,134253,340870,114498,57449,134776,20085,8099,1292248
2,251796,243531,136898,351123,113237,57488,138891,21515,8771,1323250
2,280429,262025,149842,383390,115352,63185,140446,21244,8890,1424803
2,266804,262885,144172,368484,115913,61903,139607,21347,9123,1390238
